Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"X","Input","HALFADD_B","4","HALFADD_B","U1A.1,U1C.10,U2A.1","135","30","5D","2^"
"Y","Input","HALFADD_B","4","HALFADD_B","U1B.4,U1C.9,U2B.3","135","250","5C","2^"
"SUM","Output","HALFADD_A","3","HALFADD_A","U3A.3","830","165","3D","2^"
"CARRY","Output","HALFADD_B","4","HALFADD_B","U1C.8","1000","335","2C","2^"
"Y","Input","HALFADD_A","3","HALFADD_A","U1B.4,U1C.9,U2B.3","180","185","5D","2^,4"
"SUM","Output","HALFADD_B","4","HALFADD_B","U3A.3","1000","145","2D","2^,3"
"CARRY","Output","HALFADD_A","3","HALFADD_A","U1C.8","830","270","3C","2^"
"CARRY_IN","Input","FULLADDR","2","FULLADDR","halfadd_A.X","165","185","5D","1^"
"X","Input","HALFADD_A","3","HALFADD_A","U1A.1,U1C.10,U2A.1","185","50","5D","2^"
"CARRY_OUT","Output","FULLADDR","2","FULLADDR","U1A.3","615","250","3C","1^"
